respondent_id,session,question_id,question_type,question_text,answer
R1,session1,Q1,객관식,당신이 가장 자주 사용하는 앱은 무엇인가요?,카카오톡
R1,session1,Q2,단답형,하루 평균 몇 시간 정도 스마트폰을 사용하시나요?,5시간
R1,session1,Q3,서술형,최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요?,"음 저는 요즘 smartphone를 쓰면서 느끼는 게 있는데요, 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 smartphone 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R1,session1,Q4,객관식,주로 스마트폰을 사용하는 목적은 무엇인가요?,영상 시청
R1,session1,Q5,서술형,앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요?,"솔직히 저는 요즘 wifi를 쓰면서 느끼는 게 있는데요, 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 wifi 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R1,session2,Q6,객관식,하루 중 스마트폰을 가장 많이 사용하는 시간대는 언제인가요?,저녁
R1,session2,Q7,단답형,가장 좋아하는 SNS 플랫폼은 무엇인가요?,인스타그램
R1,session2,Q8,서술형,스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요?,"사실은 저는 요즘 app를 쓰면서 느끼는 게 있는데요, 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 screen 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R1,session2,Q9,객관식,스마트폰으로 주로 보는 콘텐츠는 무엇인가요?,공부 자료
R1,session2,Q10,서술형,스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요?,"뭐 저는 요즘 smartphone를 쓰면서 느끼는 게 있는데요, 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 screen 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R1,session3,Q11,객관식,스마트폰 교체 주기는 보통 얼마나 되나요?,2년
R1,session3,Q12,단답형,최근에 산 전자기기는 무엇인가요?,태블릿
R1,session3,Q13,서술형,스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요?,"사실은 저는 요즘 app를 쓰면서 느끼는 게 있는데요, 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 battery 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R1,session3,Q14,객관식,스마트폰을 가장 자주 사용하는 장소는 어디인가요?,회사
R1,session3,Q15,서술형,이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요?,"뭐 저는 요즘 battery를 쓰면서 느끼는 게 있는데요, 이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 data 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R2,session1,Q1,객관식,당신이 가장 자주 사용하는 앱은 무엇인가요?,네이버 앱
R2,session1,Q2,단답형,하루 평균 몇 시간 정도 스마트폰을 사용하시나요?,2시간
R2,session1,Q3,서술형,최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요?,"사실은 저는 요즘 data를 쓰면서 느끼는 게 있는데요, 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 smartphone 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R2,session1,Q4,객관식,주로 스마트폰을 사용하는 목적은 무엇인가요?,영상 시청
R2,session1,Q5,서술형,앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요?,"솔직히 저는 요즘 app를 쓰면서 느끼는 게 있는데요, 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 smartphone 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R2,session2,Q6,객관식,하루 중 스마트폰을 가장 많이 사용하는 시간대는 언제인가요?,저녁
R2,session2,Q7,단답형,가장 좋아하는 SNS 플랫폼은 무엇인가요?,페이스북
R2,session2,Q8,서술형,스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요?,"사실은 저는 요즘 wifi를 쓰면서 느끼는 게 있는데요, 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 screen 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R2,session2,Q9,객관식,스마트폰으로 주로 보는 콘텐츠는 무엇인가요?,드라마
R2,session2,Q10,서술형,스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요?,"솔직히 저는 요즘 data를 쓰면서 느끼는 게 있는데요, 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 smartphone 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R2,session3,Q11,객관식,스마트폰 교체 주기는 보통 얼마나 되나요?,3년
R2,session3,Q12,단답형,최근에 산 전자기기는 무엇인가요?,이어폰
R2,session3,Q13,서술형,스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요?,"솔직히 저는 요즘 battery를 쓰면서 느끼는 게 있는데요, 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 app 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R2,session3,Q14,객관식,스마트폰을 가장 자주 사용하는 장소는 어디인가요?,학교
R2,session3,Q15,서술형,이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요?,"사실은 저는 요즘 smartphone를 쓰면서 느끼는 게 있는데요, 이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 app 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R3,session1,Q1,객관식,당신이 가장 자주 사용하는 앱은 무엇인가요?,유튜브
R3,session1,Q2,단답형,하루 평균 몇 시간 정도 스마트폰을 사용하시나요?,3시간
R3,session1,Q3,서술형,최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요?,"사실은 저는 요즘 smartphone를 쓰면서 느끼는 게 있는데요, 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 smartphone 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R3,session1,Q4,객관식,주로 스마트폰을 사용하는 목적은 무엇인가요?,게임
R3,session1,Q5,서술형,앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요?,"뭐 저는 요즘 data를 쓰면서 느끼는 게 있는데요, 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 wifi 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R3,session2,Q6,객관식,하루 중 스마트폰을 가장 많이 사용하는 시간대는 언제인가요?,저녁
R3,session2,Q7,단답형,가장 좋아하는 SNS 플랫폼은 무엇인가요?,트위터
R3,session2,Q8,서술형,스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요?,"음 저는 요즘 screen를 쓰면서 느끼는 게 있는데요, 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 data 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R3,session2,Q9,객관식,스마트폰으로 주로 보는 콘텐츠는 무엇인가요?,예능
R3,session2,Q10,서술형,스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요?,"음 저는 요즘 data를 쓰면서 느끼는 게 있는데요, 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 data 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R3,session3,Q11,객관식,스마트폰 교체 주기는 보통 얼마나 되나요?,4년 이상
R3,session3,Q12,단답형,최근에 산 전자기기는 무엇인가요?,이어폰
R3,session3,Q13,서술형,스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요?,"솔직히 저는 요즘 app를 쓰면서 느끼는 게 있는데요, 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 smartphone 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R3,session3,Q14,객관식,스마트폰을 가장 자주 사용하는 장소는 어디인가요?,회사
R3,session3,Q15,서술형,이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요?,"뭐 저는 요즘 wifi를 쓰면서 느끼는 게 있는데요, 이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 battery 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R4,session1,Q1,객관식,당신이 가장 자주 사용하는 앱은 무엇인가요?,유튜브
R4,session1,Q2,단답형,하루 평균 몇 시간 정도 스마트폰을 사용하시나요?,4시간
R4,session1,Q3,서술형,최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요?,"음 저는 요즘 smartphone를 쓰면서 느끼는 게 있는데요, 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 battery 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R4,session1,Q4,객관식,주로 스마트폰을 사용하는 목적은 무엇인가요?,SNS
R4,session1,Q5,서술형,앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요?,"음 저는 요즘 app를 쓰면서 느끼는 게 있는데요, 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 app 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R4,session2,Q6,객관식,하루 중 스마트폰을 가장 많이 사용하는 시간대는 언제인가요?,아침
R4,session2,Q7,단답형,가장 좋아하는 SNS 플랫폼은 무엇인가요?,페이스북
R4,session2,Q8,서술형,스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요?,"솔직히 저는 요즘 battery를 쓰면서 느끼는 게 있는데요, 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 app 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R4,session2,Q9,객관식,스마트폰으로 주로 보는 콘텐츠는 무엇인가요?,드라마
R4,session2,Q10,서술형,스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요?,"뭐 저는 요즘 data를 쓰면서 느끼는 게 있는데요, 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 wifi 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R4,session3,Q11,객관식,스마트폰 교체 주기는 보통 얼마나 되나요?,4년 이상
R4,session3,Q12,단답형,최근에 산 전자기기는 무엇인가요?,스마트워치
R4,session3,Q13,서술형,스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요?,"뭐 저는 요즘 screen를 쓰면서 느끼는 게 있는데요, 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 screen 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R4,session3,Q14,객관식,스마트폰을 가장 자주 사용하는 장소는 어디인가요?,집
R4,session3,Q15,서술형,이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요?,"음 저는 요즘 smartphone를 쓰면서 느끼는 게 있는데요, 이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 screen 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 이상적인 스마트폰의 미래 모습은 무엇이라고 생각하나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R5,session1,Q1,객관식,당신이 가장 자주 사용하는 앱은 무엇인가요?,틱톡
R5,session1,Q2,단답형,하루 평균 몇 시간 정도 스마트폰을 사용하시나요?,2시간
R5,session1,Q3,서술형,최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요?,"음 저는 요즘 smartphone를 쓰면서 느끼는 게 있는데요, 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 wifi 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 최근에 스마트폰을 사용하며 가장 불편했던 점은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R5,session1,Q4,객관식,주로 스마트폰을 사용하는 목적은 무엇인가요?,공부/업무
R5,session1,Q5,서술형,앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요?,"뭐 저는 요즘 wifi를 쓰면서 느끼는 게 있는데요, 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 smartphone 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 앞으로 스마트폰에 추가되었으면 하는 기능은 무엇인가요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R5,session2,Q6,객관식,하루 중 스마트폰을 가장 많이 사용하는 시간대는 언제인가요?,아침
R5,session2,Q7,단답형,가장 좋아하는 SNS 플랫폼은 무엇인가요?,인스타그램
R5,session2,Q8,서술형,스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요?,"음 저는 요즘 app를 쓰면서 느끼는 게 있는데요, 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 screen 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 덕분에 좋아진 점은 무엇이라고 생각하나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R5,session2,Q9,객관식,스마트폰으로 주로 보는 콘텐츠는 무엇인가요?,드라마
R5,session2,Q10,서술형,스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요?,"음 저는 요즘 app를 쓰면서 느끼는 게 있는데요, 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 smartphone 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰 중독을 막기 위해 본인이 시도한 방법이 있나요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R5,session3,Q11,객관식,스마트폰 교체 주기는 보통 얼마나 되나요?,고장 날 때까지
R5,session3,Q12,단답형,최근에 산 전자기기는 무엇인가요?,태블릿
R5,session3,Q13,서술형,스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요?,"사실은 저는 요즘 smartphone를 쓰면서 느끼는 게 있는데요, 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 관련해서 불편함이 있어요. 보통 하루 종일 쓰다 보면 wifi 문제가 생기고, 또 app이 느려져서 답답할 때가 많아요. 그리고 알림도 계속 와서 집중이 잘 안 되고, data 사용량도 금방 늘어나더라고요. 결국 스마트폰이 없다면 생활에서 가장 불편한 점은 무엇일까요? 때문에 불편하다고 느낀 적이 많아서 앞으로는 좀 개선되면 좋겠어요."
R5,session3,Q14,객관식,스마트폰을 가장 자주 사용하는 장소는 어디인가요?,카페
